MJD,HA,VisRatio,PhaseDiff
59871.193,-3.0308809,0.814245,-40.0088
59871.194,-3.0208535,0.813739,-40.6161
59871.194,-3.011662,0.806717,-42.208
59871.194,-3.0016344,0.787803,-40.9657
59871.195,-2.9924428,0.78681,-39.0954
59871.195,-2.9824152,0.817528,-39.8077
59871.196,-2.9732237,0.79693,-39.4178
59871.196,-2.9640319,0.778151,-37.0365
59871.196,-2.9540045,0.813684,-39.5305
59871.197,-2.9448128,0.771156,-40.113
59871.204,-2.7827036,0.822973,-38.6157
59871.204,-2.7726765,0.799318,-42.1124
59871.204,-2.7634845,0.778536,-39.8555
59871.205,-2.7534573,0.790593,-38.66
59871.205,-2.7442653,0.705129,-45.276
59871.207,-2.6991422,0.807823,-38.019
59871.207,-2.689115,0.791582,-39.3427
59871.208,-2.6799231,0.781471,-39.7736
59871.208,-2.6698959,0.77544,-40.5976
59871.209,-2.6607039,0.802499,-38.5288
59871.209,-2.6515124,0.805765,-38.9433
59871.209,-2.641485,0.80207,-39.1716
59871.21,-2.6322932,0.803543,-40.5147
59871.21,-2.6222661,0.79134,-40.0428
59871.211,-2.6130738,0.814042,-39.4427
59871.211,-2.6030467,0.79222,-40.7748
59871.211,-2.5938549,0.797981,-40.0624
59871.212,-2.5846629,0.79793,-39.7411
59871.212,-2.5746357,0.806052,-39.1008
59871.213,-2.5654438,0.804372,-39.7503
59871.213,-2.5554166,0.824318,-40.1599
59871.213,-2.5462251,0.788043,-39.2785
59871.214,-2.5361974,0.790068,-40.4346
59871.214,-2.5219922,0.802674,-40.2712
59871.215,-2.5128002,0.800107,-39.8629
59871.215,-2.5036087,0.789757,-40.8861
59871.216,-2.4935811,0.805632,-36.9608
59871.216,-2.4843895,0.826433,-38.2391
59871.216,-2.4743624,0.781103,-36.825
59871.217,-2.4651704,0.789604,-37.6902
59871.217,-2.4551432,0.80482,-40.4737
59871.218,-2.4459512,0.803012,-40.3701
59871.218,-2.4367595,0.809974,-38.6666
59871.218,-2.4267323,0.810562,-37.5733
59871.219,-2.4175403,0.816257,-38.165
59871.219,-2.4083488,0.803739,-39.4577
59871.22,-2.3983209,0.814768,-39.936
59871.22,-2.3882937,0.803223,-38.7928
59871.22,-2.3791025,0.799942,-39.8031
59871.221,-2.3699105,0.767627,-38.7515
59871.221,-2.3598831,0.835401,-36.6593
59871.222,-2.3431704,0.802486,-39.325
59871.222,-2.3339789,0.774163,-41.1807
59871.223,-2.3239517,0.800711,-38.9041
59871.223,-2.3147597,0.812669,-40.1896
59871.223,-2.305568,0.778267,-40.3945
59871.224,-2.2955406,0.759663,-39.9481
59871.224,-2.2863488,0.746459,-44.5725
59871.225,-2.2763216,0.752937,-41.5022
59871.226,-2.2479105,0.772086,-41.1222
59871.227,-2.2286918,0.817076,-46.0038
59871.25,-1.6596383,0.784163,-40.8862
59871.251,-1.6504467,0.739223,-42.3175
59871.251,-1.6404191,0.78561,-40.7746
59871.251,-1.6312275,0.811669,-41.8393
59871.252,-1.6220356,0.801463,-40.3851
59871.252,-1.6120083,0.811977,-40.7924
59871.253,-1.6028167,0.795677,-42.5623
59871.255,-1.5551866,0.785854,-39.9548
59871.255,-1.5451591,0.463362,-50.1895
59871.257,-1.4883375,0.789003,-41.2765
59871.258,-1.47831,0.792107,-41.2618
59871.258,-1.4691184,0.781118,-42.0133
59871.259,-1.4590908,0.813825,-40.9503
59871.259,-1.4498992,0.784154,-39.8541
59871.259,-1.4407076,0.756839,-41.1189
59871.26,-1.4306799,0.707051,-39.4953
59871.26,-1.4214883,0.765145,-40.4171
59871.261,-1.4114608,0.799591,-41.6794
59871.261,-1.4022691,0.798472,-41.9009
59871.261,-1.3922417,0.814751,-40.3558
59871.262,-1.38305,0.804749,-39.8451
59871.264,-1.3320774,0.78751,-41.8215
59871.264,-1.3220502,0.767133,-40.8283
59871.265,-1.3128583,0.798095,-41.0035
59871.265,-1.3028311,0.799168,-40.0519
59871.265,-1.2936392,0.771354,-42.2741
59871.266,-1.2844474,0.794154,-40.4735
59871.266,-1.27442,0.801715,-40.085
59871.267,-1.2652284,0.777715,-40.5068
59871.267,-1.2552011,0.731607,-42.2248
59871.267,-1.2460092,0.758886,-40.6631
59871.268,-1.2359819,0.806813,-41.296
59871.268,-1.2267901,0.777666,-41.581
59871.269,-1.2175983,0.773914,-41.3825
59871.269,-1.2075711,0.790284,-40.834
59871.269,-1.1983793,0.779159,-42.1936
59871.27,-1.188352,0.769056,-42.1135
59871.27,-1.17916,0.771628,-40.6534
59871.27,-1.1699682,0.726546,-40.891
59871.279,-0.97527027,0.792247,-38.0013
59871.279,-0.96524274,0.755172,-40.5944
59871.279,-0.95605111,0.814146,-39.9845
59871.28,-0.94685918,0.811337,-40.8184
59871.28,-0.93683195,0.796482,-40.6831
59871.281,-0.92764032,0.80033,-41.7716
59871.281,-0.91761279,0.807466,-40.8564
59871.281,-0.9084211,0.823571,-40.4741
59871.282,-0.89839363,0.801798,-39.5056
59871.282,-0.88920194,0.800684,-39.3828
59871.283,-0.88001001,0.791338,-41.1752
59871.283,-0.86998278,0.811724,-41.1888
59871.283,-0.86079115,0.823369,-39.6969
59871.284,-0.85076362,0.764631,-40.2431
59871.284,-0.84157193,0.808908,-40.0081
59871.285,-0.83238,0.817244,-40.5052
59871.285,-0.82235277,0.796561,-40.6774
59871.285,-0.81316084,0.801511,-40.0628
59871.286,-0.79728419,0.761808,-41.043
59871.286,-0.78809255,0.75583,-42.1122
59871.287,-0.77806526,0.73842,-39.8204
59871.287,-0.76887333,0.747996,-40.5827
59871.288,-0.7588461,0.737762,-40.5431
59871.288,-0.74965417,0.738635,-40.3275
59871.288,-0.74046254,0.701955,-41.3947
