MJD,HA,VisRatio,PhaseDiff
59871.292,-0.64436692,0.817462,-27.7085
59871.293,-0.63517499,0.8157,-28.2048
59871.293,-0.62598336,0.815187,-26.7427
59871.294,-0.61595583,0.794737,-28.0915
59871.294,-0.6067642,0.824131,-27.5252
59871.294,-0.59673667,0.810062,-27.7757
59871.295,-0.58754498,0.797545,-27.6869
59871.295,-0.57751775,0.805071,-28.6653
59871.296,-0.56832582,0.801579,-28.9972
59871.296,-0.55913419,0.806898,-28.65
59871.296,-0.54910672,0.824948,-28.7241
59871.297,-0.53991503,0.816665,-29.7826
59871.297,-0.5298875,0.813183,-30.0078
59871.298,-0.52069581,0.819429,-30.4323
59871.298,-0.51066834,0.801246,-29.6987
59871.298,-0.50147665,0.792679,-29.6699
59871.299,-0.49228498,0.837937,-29.6224
59871.299,-0.48225752,0.810813,-30.5722
59871.3,-0.47306582,0.812462,-30.3049
59871.314,-0.13046388,0.758882,-42.838
59871.314,-0.12127195,0.762254,-44.0411
59871.315,-0.11124472,0.738197,-44.3459
59871.315,-0.10205278,0.762657,-44.9483
59871.315,-0.092025556,0.745545,-45.806
59871.316,-0.082833618,0.755808,-47.0254
59871.316,-0.073641948,0.768039,-46.0887
59871.317,-0.063614726,0.762128,-46.3722
59871.317,-0.054422777,0.760294,-46.7278
59871.317,-0.044395559,0.756,-47.081
59871.318,-0.035203613,0.750847,-47.321
59871.318,-0.025176391,0.76869,-48.9631
59871.319,-0.015984444,0.759581,-48.2412
59871.319,-0.006792778,0.770129,-47.8638
59871.319,0.003234722,0.752481,-49.7259
59871.32,0.012426389,0.74341,-50.3066
59871.32,0.022453612,0.741631,-50.3701
59871.321,0.031645555,0.748431,-51.7088
59871.321,0.040837225,0.766834,-52.1723
59871.321,0.050864723,0.743778,-51.7527
59871.322,0.060056388,0.710404,-51.5451
59871.322,0.070083894,0.703658,-51.1578
59871.322,0.079275556,0.736251,-52.6737
59871.323,0.089303061,0.730701,-52.4508
59871.323,0.098494723,0.750649,-52.0071
59871.324,0.10768639,0.759418,-52.1661
59871.324,0.11771389,0.749499,-53.9852
59871.324,0.12690556,0.707358,-54.0276
59871.325,0.13693306,0.719942,-52.5474
59871.325,0.14612474,0.719891,-53.4921
59871.326,0.15615223,0.710354,-54.6973
59871.326,0.1653439,0.710132,-54.8867
59871.326,0.17453556,0.722106,-55.6072
59871.327,0.18456306,0.678608,-53.757
59871.327,0.19375473,0.725892,-54.4524
59871.328,0.20712472,0.724282,-55.717
59871.328,0.21631639,0.721181,-57.3276
59871.329,0.22634389,0.711863,-56.8172
59871.329,0.23553556,0.720592,-57.1179
59871.329,0.24556306,0.715726,-56.2025
59871.33,0.25475472,0.714962,-58.1283
59871.33,0.26394638,0.712417,-56.3398
59871.331,0.27397391,0.699278,-57.18
59871.331,0.28316557,0.707508,-57.8452
59871.331,0.29319304,0.717552,-55.8924
59871.332,0.30238473,0.731123,-57.3479
59871.332,0.31241223,0.695312,-57.2667
59871.333,0.32160389,0.677694,-57.3963
59871.333,0.33079556,0.657352,-58.0921
59871.333,0.34082305,0.711289,-57.5313
59871.334,0.35001472,0.722218,-59.2986
59871.334,0.36004221,0.690345,-58.6976
59871.334,0.36923391,0.698568,-60.3596
59871.352,0.79539752,0.732476,-57.911
59871.353,0.80458945,0.717539,-58.3354
59871.353,0.81461668,0.721625,-58.752
59871.353,0.82380861,0.705227,-58.8331
59871.354,0.8330003,0.706003,-58.5634
59871.354,0.84302777,0.714182,-58.1403
59871.355,0.85221946,0.718774,-58.6175
59871.355,0.86224699,0.722865,-58.5671
59871.355,0.87143862,0.735517,-58.3294
59871.356,0.88063031,0.739433,-57.8669
59871.356,0.89065778,0.726435,-58.9846
59871.357,0.89984941,0.73138,-58.7591
59871.357,0.90987694,0.72757,-58.5679
59871.357,0.91906863,0.72317,-58.0525
59871.358,0.9290961,0.736646,-56.4283
59871.358,0.93828779,0.715881,-58.6083
59871.359,0.94747943,0.736489,-57.493
59871.359,0.95750695,0.73352,-56.8661
59871.359,0.96669859,0.733238,-56.9986
59871.36,0.97672606,0.726427,-57.4447
59871.36,0.98591781,0.718771,-57.5919
59871.361,0.99594527,0.733619,-57.1481
59871.361,1.005137,0.731106,-55.5499
59871.361,1.0143288,0.727332,-56.3529
59871.362,1.0243561,0.728505,-56.0113
59871.362,1.033548,0.710042,-56.8658
59871.363,1.0435753,0.717538,-55.8286
59871.363,1.0527672,0.7274,-55.8453
59871.363,1.0619588,0.725349,-55.843
59871.364,1.0719862,0.709481,-54.9903
59871.364,1.0811781,0.732427,-55.5926
59871.365,1.0912054,0.72228,-55.6198
59871.365,1.1003972,0.739428,-56.5309
59871.365,1.1104245,0.734703,-55.4858
59871.366,1.1196164,0.730757,-55.5401
59871.366,1.128808,0.737805,-54.6879
59871.367,1.1388355,0.731733,-55.7635
59871.367,1.1480272,0.735244,-55.4663
59871.367,1.1580547,0.735341,-55.2971
59871.368,1.1672463,0.739091,-54.9682
59871.368,1.1772739,0.742117,-55.4285
59871.368,1.1864656,0.746125,-54.2943
59871.369,1.1956573,0.728457,-55.0059
59871.369,1.2056848,0.732247,-54.642
59871.37,1.2148764,0.739045,-54.6497
59871.37,1.2249039,0.716925,-54.8685
59871.37,1.2340956,0.737466,-55.0699
59871.371,1.2432876,0.736659,-54.6838
59871.371,1.2533147,0.73858,-54.6701
59871.372,1.2625067,0.730549,-53.9084
59871.372,1.2725339,0.742051,-55.9268
59871.372,1.2817255,0.731438,-53.8276
59871.373,1.2917531,0.741954,-53.6394
59871.391,1.722095,0.718689,-52.1756
59871.391,1.7312866,0.715101,-50.012
59871.392,1.7413142,0.743953,-50.9938
59871.392,1.7505058,0.737552,-51.0775
59871.392,1.7605333,0.740137,-51.2282
59871.393,1.769725,0.751499,-50.8735
59871.393,1.778917,0.734898,-50.331
59871.394,1.7889441,0.754205,-50.5939
59871.394,1.7981361,0.756802,-51.2487
59871.394,1.8081633,0.755867,-50.946
59871.395,1.8173552,0.752693,-51.6992
59871.395,1.8273824,0.741953,-50.7912
59871.396,1.8365743,0.756986,-50.9702
59871.396,1.8457661,0.759726,-50.6857
59871.396,1.8557936,0.751428,-50.9929
59871.397,1.8649853,0.752669,-50.025
59871.397,1.8750125,0.756903,-50.2942
59871.397,1.8842044,0.745639,-51.499
59871.398,1.8933961,0.739003,-50.7998
59871.398,1.9034235,0.737705,-50.9562
59871.399,1.9126153,0.741347,-49.8949
59871.399,1.9226428,0.73904,-50.5134
59871.399,1.9318346,0.735741,-50.4148
59871.4,1.941862,0.744368,-51.9313
