MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59872.2971761475564563 , -0.4641799926757812 , 10 , 0.9573509 , 0.0219089 , 0.8166127 , 0.0220328 , -42.7738152 , 0.7666800462663362 , 0.8623112 , 0.0075326 , 0.8498572 , 0.0023997 , 262.9808655 , 5.4481182 , 8.1825418
 59872.3003484597575152 , -0.3881388902664185 , 10 , 0.9608598 , 0.0102122 , 0.8187366 , 0.0089218 , -41.6137276 , 0.3723487247454631 , 0.8607848 , 0.0036489 , 0.8467395 , 0.0026992 , 102.0742188 , 1.1873038 , 1.6758208
 59872.3039174796140287 , -0.3020705580711365 , 10 , 0.9648291 , 0.0107951 , 0.8219380 , 0.0082390 , -42.3763885 , 0.1480142749684100 , 0.8550651 , 0.0072135 , 0.8407249 , 0.0028465 , 117.0127792 , 1.2444271 , 1.7763243
 59872.3074862226640107 , -0.2160022258758545 , 10 , 0.9676073 , 0.0142343 , 0.8081068 , 0.0126203 , -41.6593552 , 0.4661715257205222 , 0.8367345 , 0.0090269 , 0.8418879 , 0.0029170 , 77.3158264 , 0.7413499 , 1.0321040
 59872.3106586961293942 , -0.1399613916873932 , 10 , 0.9696246 , 0.0193533 , 0.8078023 , 0.0147191 , -40.7593002 , 0.4700889318288896 , 0.8201179 , 0.0035432 , 0.8391548 , 0.0059186 , 120.5536652 , 1.5344708 , 2.3625228
 59872.3166068638165598 , 0.0037644444964826 , 10 , 0.9618944 , 0.0328415 , 0.7699432 , 0.0311164 , -41.3784752 , 1.0330883921324667 , 0.7900191 , 0.0060312 , 0.8147859 , 0.0069702 , 98.2354507 , 1.5296205 , 2.5507245
 59872.3197792902283254 , 0.0798052847385406 , 10 , 0.9448834 , 0.0551159 , 0.7475281 , 0.0432371 , -40.4958153 , 1.2167286081606405 , 0.7832562 , 0.0040497 , 0.8004053 , 0.0066226 , 33.9638672 , 0.2071201 , 0.3652694
 59872.3325180861647823 , 0.3864760994911194 , 10 , 0.9760075 , 0.0464110 , 0.7205752 , 0.0359272 , -42.0407295 , 0.8370237883154376 , 0.7452967 , 0.0080261 , 0.7412707 , 0.0059814 , 48.8087807 , 0.3085006 , 0.5406855
