MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59872.2978546110462048 , -0.4471891820430756 , 14 , 1.0129766 , 0.0093831 , 1.0068072 , 0.0074989 , -11.8646889 , 0.2773951468979655 , 0.9729824 , 0.0099142 , 1.0153441 , 0.0056666 , 524.5861206 , 51.6469803 , 45.7173424
 59872.3036582271015504 , -0.3076413869857788 , 14 , 1.0192389 , 0.0149934 , 1.0008312 , 0.0159675 , -12.2791529 , 0.2711989956916253 , 0.9656084 , 0.0060297 , 1.0079578 , 0.0056843 , 219.4149017 , 13.1047449 , 12.6763811
 59872.3090990297132521 , -0.1764499992132187 , 14 , 1.0146766 , 0.0170841 , 0.9923044 , 0.0175655 , -14.3281479 , 0.2699877708986442 , 0.9639864 , 0.0066467 , 0.9869701 , 0.0082333 , 212.3941498 , 10.1477461 , 9.2262945
 59872.3164524343883386 , -0.0001352777762804 , 14 , 1.0170112 , 0.0252494 , 0.9516019 , 0.0244857 , -16.3182812 , 0.2557503321089978 , 0.9306642 , 0.0064270 , 0.9359899 , 0.0049001 , 155.1928101 , 7.0823894 , 6.7943811
 59872.3197168924743892 , 0.0784125030040741 , 14 , 1.0165441 , 0.0133656 , 0.9235446 , 0.0155166 , -16.6614208 , 0.3903345509879424 , 0.9188127 , 0.0066553 , 0.9128758 , 0.0091627 , 66.6605759 , 3.1046393 , 3.1981995
 59872.3324121987679973 , 0.3842477798461914 , 14 , 1.0325866 , 0.0359192 , 0.8954200 , 0.0297825 , -13.5723925 , 0.6132309820929382 , 0.8772373 , 0.0141248 , 0.8656925 , 0.0065929 , 72.2111664 , 2.6749761 , 2.8739429
