MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59873.0970953850264777 , -5.2135577201843262 , 7 , 0.9606370 , 0.0125454 , 0.8164929 , 0.0106750 , -12.0959272 , 0.5010805011727614 , 0.8798062 , 0.0116801 , 0.8141556 , 0.0037849 , 222.8412170 , 2.4854846 , 3.8325698
 59873.1006642664942774 , -5.1274900436401367 , 7 , 0.9658827 , 0.0119143 , 0.8114955 , 0.0137199 , -12.0617323 , 0.5606836022332532 , 0.8669787 , 0.0132994 , 0.8133239 , 0.0056954 , 140.7233734 , 2.3247678 , 3.5546885
 59873.1038366493376088 , -5.0514492988586426 , 7 , 0.9700426 , 0.0871703 , 0.8116775 , 0.0724327 , -12.3432312 , 1.7706030326416820 , 0.8520473 , 0.0084625 , 0.8193160 , 0.0053925 , 154.0709381 , 3.9240689 , 6.0206223
 59873.1085951530840248 , -4.9369702339172363 , 7 , 0.9633570 , 0.0277901 , 0.7997503 , 0.0219372 , -12.6995506 , 0.2246279348833426 , 0.8431448 , 0.0041788 , 0.8243982 , 0.0054370 , 91.2320709 , 1.5907409 , 2.4641602
 59873.1109744803325157 , -4.8793129920959473 , 7 , 0.9506050 , 0.0175840 , 0.7973535 , 0.0153353 , -12.4032621 , 0.5584117206758050 , 0.8423294 , 0.0031745 , 0.8365111 , 0.0022447 , 107.2265091 , 1.2276064 , 1.8764089
 59873.1366396395460470 , -4.2617945671081543 , 7 , 0.9712512 , 0.0093970 , 0.9166290 , 0.0079994 , -14.0407524 , 0.2399750103838487 , 0.9668378 , 0.0065712 , 0.9175265 , 0.0032417 , 281.1632385 , 7.7978110 , 9.4432211
 59873.1402086277739727 , -4.1757259368896484 , 7 , 0.9694254 , 0.0099410 , 0.9139694 , 0.0123429 , -13.9212999 , 0.3107821476207848 , 0.9720907 , 0.0064853 , 0.9181337 , 0.0040366 , 438.9147034 , 10.6285629 , 12.2712030
 59873.1547815372759942 , -3.8256042003631592 , 7 , 0.9644725 , 0.0050473 , 0.9056542 , 0.0047730 , -13.8970003 , 0.1774555299214467 , 0.9680213 , 0.0070528 , 0.9073029 , 0.0040590 , 443.8491516 , 12.0813103 , 15.5116291
 59873.1583504606460338 , -3.7395358085632324 , 7 , 0.9675642 , 0.0053415 , 0.9026684 , 0.0055023 , -13.9764881 , 0.2777461812689695 , 0.9688771 , 0.0064361 , 0.8979884 , 0.0037554 , 540.6785889 , 12.2193098 , 15.2351675
 59873.1619192828075029 , -3.6534678936004639 , 7 , 0.9749671 , 0.0084329 , 0.9105637 , 0.0102031 , -14.1761665 , 0.2337162634859267 , 0.9703724 , 0.0075503 , 0.8948589 , 0.0038723 , 604.2454224 , 10.8217335 , 13.6124640
