MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59873.0970953850264777 , -5.2135577201843262 , 0 , 0.9922823 , 0.0121443 , 0.8451478 , 0.0132973 , -0.7219830 , 0.2736392790995785 , 0.8291588 , 0.0033814 , 0.8798062 , 0.0116801 , 274.2496643 , 4.6539512 , 6.2937794
 59873.1006642664942774 , -5.1274900436401367 , 0 , 0.9943579 , 0.0091887 , 0.8440656 , 0.0084568 , -1.2403430 , 0.2671897533630345 , 0.8329524 , 0.0129734 , 0.8669787 , 0.0132994 , 311.4692078 , 5.1619253 , 7.1792154
 59873.1038366493376088 , -5.0514492988586426 , 0 , 0.9892847 , 0.0238260 , 0.8351618 , 0.0194633 , -0.9179222 , 0.2453251100622059 , 0.8454921 , 0.0049307 , 0.8519298 , 0.0041523 , 315.0368958 , 8.0257349 , 10.9113760
 59873.1085951530840248 , -4.9369702339172363 , 0 , 0.9854028 , 0.0064395 , 0.8304808 , 0.0031388 , -0.3955976 , 0.4579639759492051 , 0.8438193 , 0.0036531 , 0.8431448 , 0.0041788 , 132.0423889 , 3.1298668 , 4.3650651
 59873.1109744803325157 , -4.8793129920959473 , 0 , 0.9587389 , 0.0426692 , 0.8116392 , 0.0373515 , -1.4252342 , 0.2839937386266159 , 0.8466965 , 0.0030388 , 0.8423294 , 0.0031745 , 246.2363434 , 2.3234448 , 3.1969759
 59873.1366396395460470 , -4.2617945671081543 , 0 , 0.9666547 , 0.0382738 , 0.9448054 , 0.0436394 , 1.3072889 , 0.3401354976325759 , 0.9823834 , 0.0131304 , 0.9668378 , 0.0065712 , 213.7276764 , 7.4639325 , 8.3394299
 59873.1402086277739727 , -4.1757259368896484 , 0 , 0.9779276 , 0.0077750 , 0.9542428 , 0.0066193 , 2.5517104 , 0.1570881682151424 , 0.9793336 , 0.0029194 , 0.9720907 , 0.0064853 , 466.4363403 , 11.3858767 , 12.0113153
 59873.1547815372759942 , -3.8256042003631592 , 0 , 0.9726405 , 0.0071605 , 0.9366668 , 0.0050153 , 1.3280667 , 0.2619379870396283 , 0.9589666 , 0.0025608 , 0.9680213 , 0.0070528 , 403.0953369 , 11.4802856 , 12.3872099
 59873.1583504606460338 , -3.7395358085632324 , 0 , 0.9745375 , 0.0053696 , 0.9390803 , 0.0054942 , 1.4021819 , 0.1443532636164775 , 0.9598216 , 0.0043168 , 0.9688771 , 0.0064361 , 519.4107666 , 12.5390205 , 13.8303051
 59873.1619192828075029 , -3.6534678936004639 , 0 , 0.9740174 , 0.0051728 , 0.9438534 , 0.0058560 , 1.6812888 , 0.2541914960802405 , 0.9576077 , 0.0045815 , 0.9703724 , 0.0075503 , 526.7649536 , 12.2801294 , 13.4350605
