MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59871.1940591471429798 , -3.0116620063781738 , 10 , 0.9417688 , 0.0146008 , 0.8067172 , 0.0136217 , -40.6161118 , 0.5772077472072962 , 0.8763161 , 0.0073760 , 0.8373234 , 0.0017255 , 169.0398865 , 3.3335061 , 4.9689078
 59871.1960418827657122 , -2.9640319347381592 , 10 , 0.9305498 , 0.0208215 , 0.7969303 , 0.0206853 , -39.5304985 , 0.6143289617261586 , 0.8745072 , 0.0082292 , 0.8274132 , 0.0053903 , 142.9567413 , 2.4755507 , 4.0459394
 59871.2043693072337192 , -2.7634844779968262 , 10 , 0.9299690 , 0.0535836 , 0.7905930 , 0.0445463 , -39.8554993 , 1.4130133900227335 , 0.8524449 , 0.0035207 , 0.8486173 , 0.0026921 , 170.3965302 , 3.1120844 , 4.8176951
 59871.2086321729511837 , -2.6607038974761963 , 10 , 0.9355992 , 0.0129970 , 0.8020695 , 0.0114316 , -39.3426933 , 0.3099215453844234 , 0.8593754 , 0.0046148 , 0.8490278 , 0.0034272 , 237.7910767 , 5.0228519 , 7.5023298
 59871.2122010827806662 , -2.5746357440948486 , 10 , 0.9316466 , 0.0125291 , 0.7979805 , 0.0118835 , -39.7503357 , 0.1941605108312290 , 0.8718117 , 0.0056209 , 0.8464769 , 0.0032515 , 226.9599609 , 4.4195557 , 6.5941319
 59871.2159682238634559 , -2.4843895435333252 , 10 , 0.9309203 , 0.0149282 , 0.8026741 , 0.0129367 , -39.8628998 , 0.5743555885052517 , 0.8819637 , 0.0025698 , 0.8403502 , 0.0032473 , 136.7085419 , 2.4946170 , 3.8157539
 59871.2195371546331444 , -2.3983209133148193 , 10 , 0.9407536 , 0.0220248 , 0.8099744 , 0.0180239 , -38.7514572 , 0.3755044744717380 , 0.8817720 , 0.0030887 , 0.8378175 , 0.0020769 , 167.6112213 , 2.4586940 , 3.7010636
 59871.2234034449429600 , -2.3055679798126221 , 10 , 0.9114170 , 0.0344289 , 0.7782669 , 0.0311647 , -40.3945389 , 0.6155839399338138 , 0.8726019 , 0.0228132 , 0.8374268 , 0.0031973 , 51.0334930 , 0.9883541 , 1.5208070
 59871.2265757399291033 , -2.2286918163299561 , 10 , 0.9363764 , 0.0582553 , 0.7840282 , 0.0442352 , -42.8140945 , 0.9360022536759406 , 0.8393487 , 0.0102155 , 0.8384087 , 0.0040123 , 19.8772202 , 0.2853084 , 0.4508078
 59871.2514094331054366 , -1.6312274932861328 , 10 , 0.9316288 , 0.0287257 , 0.7956771 , 0.0249929 , -40.8861580 , 0.3508602424654340 , 0.8446106 , 0.0050941 , 0.8612249 , 0.0030146 , 313.3007812 , 8.5562363 , 13.4875011
