MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59872.2982173762284219 , -0.4388330578804016 , 2 , 0.9798589 , 0.0747756 , 0.9573382 , 0.0720480 , -38.3805237 , 0.7502240857916046 , 1.0271410 , 0.0070365 , 0.9422813 , 0.0074853 , 19.6186543 , 1.7032092 , 1.5290635
 59872.3032955047310679 , -0.3159975111484528 , 2 , 0.9323394 , 0.1055207 , 0.9108397 , 0.1050140 , -36.2003670 , 0.8891123690935935 , 1.0159810 , 0.0072736 , 0.9401079 , 0.0070863 , 8.7078562 , 0.4743213 , 0.5035045
 59872.3105498832301237 , -0.1421897262334824 , 2 , 1.0117266 , 0.0992379 , 0.9615336 , 0.0906789 , -33.0848770 , 0.6976326062091156 , 0.9863973 , 0.0131496 , 0.9333161 , 0.0053287 , 6.9668441 , 0.4942329 , 0.5560709
 59872.3179033458000049 , 0.0349605567753315 , 2 , 0.9729028 , 0.0531246 , 0.8921902 , 0.0499736 , -29.8395309 , 1.2713176574958736 , 0.9395783 , 0.0115785 , 0.9049534 , 0.0056647 , 10.9887238 , 0.7653473 , 0.7634006
