MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59871.1940591471429798 , -3.0116620063781738 , 8 , 0.9272008 , 0.0143612 , 0.8080935 , 0.0121926 , -33.8189392 , 0.1894929998366432 , 0.8824641 , 0.0026146 , 0.8625873 , 0.0019474 , 224.3011932 , 5.2916455 , 8.5193367
 59871.1960418827657122 , -2.9640319347381592 , 8 , 0.9186854 , 0.0225536 , 0.7988753 , 0.0206095 , -33.9472694 , 0.4095588578443027 , 0.8811393 , 0.0045066 , 0.8581828 , 0.0055985 , 317.2041931 , 4.2004375 , 7.4555178
 59871.2043693072337192 , -2.7634844779968262 , 8 , 0.9100980 , 0.1124721 , 0.7932600 , 0.0985338 , -32.4084587 , 0.6905838992924899 , 0.8909637 , 0.0043808 , 0.8568077 , 0.0036262 , 168.6055756 , 2.4393456 , 3.9369135
 59871.2086321729511837 , -2.6607038974761963 , 8 , 0.9344684 , 0.0240846 , 0.8171756 , 0.0209301 , -32.8462868 , 0.2664653618967077 , 0.8914344 , 0.0049208 , 0.8582662 , 0.0019366 , 115.5040512 , 2.0179367 , 3.4937208
 59871.2114080479295808 , -2.5938549041748047 , 8 , 0.9203097 , 0.0089068 , 0.8075525 , 0.0065462 , -32.2509270 , 0.2507233484612451 , 0.8904455 , 0.0040815 , 0.8588472 , 0.0017301 , 72.4370956 , 2.1514542 , 3.5253839
 59871.2167613004203304 , -2.4651703834533691 , 8 , 0.9231103 , 0.0203914 , 0.7997977 , 0.0170168 , -32.5964012 , 0.1384393847498860 , 0.8877873 , 0.0043094 , 0.8520256 , 0.0043799 , 120.1078491 , 2.2107868 , 3.5248301
 59871.2203303515270818 , -2.3791024684906006 , 8 , 0.9279973 , 0.0181978 , 0.8102570 , 0.0153482 , -32.0822868 , 0.2265994862331803 , 0.8891110 , 0.0032910 , 0.8582733 , 0.0053779 , 90.9175720 , 1.7364807 , 2.7339003
 59871.2238000606084825 , -2.2955405712127686 , 8 , 0.9430879 , 0.0185994 , 0.8237477 , 0.0185152 , -33.0197334 , 0.2179627197535422 , 0.8869749 , 0.0049909 , 0.8540881 , 0.0060257 , 225.9095306 , 2.3907180 , 3.7752671
 59871.2265757399291033 , -2.2286918163299561 , 8 , 0.9430479 , 0.0079514 , 0.8201984 , 0.0065511 , -33.4706192 , 0.2396091319703673 , 0.8917960 , 0.0036649 , 0.8488216 , 0.0038962 , 207.5556793 , 2.8344016 , 4.3719573
 59871.2518059362337226 , -1.6220356225967407 , 8 , 0.9067798 , 0.0731240 , 0.7912231 , 0.0641833 , -33.3805618 , 0.3879528219431111 , 0.8762319 , 0.0051653 , 0.8569277 , 0.0039757 , 244.7413788 , 7.7561712 , 13.0642071
 59871.2573575592978159 , -1.4883375167846680 , 8 , 0.9111819 , 0.0216635 , 0.7981202 , 0.0235869 , -33.0255432 , 0.7527561383309193 , 0.8970000 , 0.0124410 , 0.8595201 , 0.0053604 , 191.9848785 , 7.8257070 , 12.7727985
 59871.2597368834758527 , -1.4306799173355103 , 8 , 0.9229102 , 0.0227905 , 0.8027062 , 0.0191466 , -33.3446960 , 0.0882164518203271 , 0.8859510 , 0.0033767 , 0.8587640 , 0.0015888 , 260.2736206 , 8.0753269 , 13.0079107
 59871.2642475581014878 , -1.3220502138137817 , 8 , 0.9259450 , 0.0148823 , 0.8169417 , 0.0128128 , -33.5183258 , 0.3456326441662061 , 0.9011429 , 0.0142374 , 0.8600383 , 0.0015868 , 260.8154602 , 6.4515805 , 10.5942268
 59871.2670233218304929 , -1.2552011013031006 , 8 , 0.9252658 , 0.0056786 , 0.8188996 , 0.0059294 , -33.6031532 , 0.2737670725733238 , 0.9072949 , 0.0099702 , 0.8599921 , 0.0027403 , 371.6848145 , 13.6363554 , 21.0556946
 59871.2697990957167349 , -1.1883519887924194 , 8 , 0.9140680 , 0.0144947 , 0.8083038 , 0.0133518 , -33.4786720 , 0.4410926147412054 , 0.9037273 , 0.0059657 , 0.8599368 , 0.0040825 , 230.0560150 , 7.2480621 , 12.1829538
 59871.2802580359784770 , -0.9368319511413574 , 8 , 0.8213909 , 0.0425694 , 0.7137199 , 0.0386355 , -32.4770164 , 0.3202204742596089 , 0.8767206 , 0.0044598 , 0.8596976 , 0.0014872 , 292.2334595 , 4.8731308 , 10.4111500
 59871.2838269646672416 , -0.8507636189460754 , 8 , 0.9115222 , 0.0231257 , 0.7927279 , 0.0206603 , -33.9791107 , 0.3165915680394585 , 0.8703425 , 0.0061905 , 0.8599671 , 0.0010227 , 403.5818481 , 9.6269646 , 16.4897900
 59871.2876436607402866 , -0.7588461041450500 , 8 , 0.9156065 , 0.0158843 , 0.8000857 , 0.0105644 , -34.2134972 , 0.4734269234481873 , 0.8844315 , 0.0078281 , 0.8612487 , 0.0015733 , 257.2014160 , 5.2951422 , 9.1027155
 59871.2912125565635506 , -0.6736133694648743 , 8 , 0.9479880 , 0.0115528 , 0.8220927 , 0.0113366 , -35.4103203 , 0.4857216805624293 , 0.8670916 , 0.0089100 , 0.8608770 , 0.0023387 , 282.7846985 , 8.5603361 , 13.7527428
 59871.2947814469953300 , -0.5875449776649475 , 8 , 0.9393095 , 0.0084473 , 0.8098647 , 0.0093090 , -36.2765160 , 0.3945321809437287 , 0.8623848 , 0.0087038 , 0.8629715 , 0.0025636 , 284.9085083 , 8.2009830 , 13.2982435
 59871.2983503449650016 , -0.5014766454696655 , 8 , 0.9351374 , 0.0225106 , 0.8017922 , 0.0187469 , -38.4595680 , 0.1788385419379922 , 0.8609940 , 0.0082415 , 0.8660404 , 0.0118086 , 242.9828186 , 6.8177896 , 11.5635271
 59871.3153521377607831 , -0.0920255556702614 , 8 , 0.8894419 , 0.0209287 , 0.7056809 , 0.0168521 , -56.5240097 , 0.7088314338916962 , 0.7984310 , 0.0086319 , 0.7945034 , 0.0031178 , 186.4178772 , 4.0888677 , 8.6276684
 59871.3189210381315206 , -0.0067927776835859 , 8 , 0.8687839 , 0.0389562 , 0.6889178 , 0.0284304 , -61.6776428 , 0.7533256216291118 , 0.7933805 , 0.0048843 , 0.7869414 , 0.0040175 , 191.4207764 , 3.4305320 , 7.3740478
 59871.3224900252025691 , 0.0792755559086800 , 8 , 0.9331740 , 0.0128582 , 0.7326499 , 0.0099971 , -68.0027313 , 0.5053948175289809 , 0.7875691 , 0.0052690 , 0.7838761 , 0.0025532 , 196.1828918 , 4.1408086 , 8.2736206
 59871.3260589318088023 , 0.1653438955545425 , 8 , 0.9207016 , 0.0131418 , 0.7170286 , 0.0101554 , -72.3056488 , 0.4134339930844265 , 0.7789893 , 0.0051525 , 0.7796441 , 0.0039840 , 158.4551544 , 3.4122479 , 7.1653738
 59871.3297765343013452 , 0.2547547221183777 , 8 , 0.9106861 , 0.0250169 , 0.7071867 , 0.0185749 , -75.1953964 , 0.2975479354342276 , 0.7688379 , 0.0061618 , 0.7728894 , 0.0029630 , 184.4727020 , 3.2191954 , 6.9370613
