MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59872.2982173762284219 , -0.4388330578804016 , 7 , 0.9348255 , 0.0164443 , 0.9346524 , 0.0188801 , 27.5591106 , 0.3066824918750937 , 1.0407228 , 0.0135296 , 0.9738618 , 0.0081148 , 77.0434494 , 8.9236832 , 9.5547028
 59872.3036582271015504 , -0.3076413869857788 , 7 , 0.9245658 , 0.0420866 , 0.9230820 , 0.0409459 , 23.9505558 , 0.6202383986273767 , 1.0115286 , 0.0128529 , 0.9656084 , 0.0060297 , 33.9852333 , 1.9488051 , 1.9843413
 59872.3090990297132521 , -0.1764499992132187 , 7 , 0.9344506 , 0.0198588 , 0.9010332 , 0.0179175 , 17.8779755 , 0.8178150382452085 , 0.9722695 , 0.0120345 , 0.9639864 , 0.0066467 , 31.7724380 , 2.0063641 , 2.0541410
 59872.3160896832414437 , -0.0084913885220885 , 7 , 0.8968884 , 0.0522808 , 0.8326964 , 0.0500536 , 6.1803670 , 0.6814195189091805 , 0.9264147 , 0.0100213 , 0.9306642 , 0.0052782 , 18.1970348 , 1.1279004 , 1.3548938
 59872.3186287455755519 , 0.0525086112320423 , 7 , 0.9549314 , 0.0387127 , 0.8769557 , 0.0390681 , 2.5951059 , 0.5406843825803729 , 0.9282238 , 0.0127673 , 0.9232437 , 0.0083459 , 24.9985867 , 2.5059934 , 3.1503329
 59872.3320495201696758 , 0.3758916854858398 , 7 , 0.9161170 , 0.0123553 , 0.8105092 , 0.0164130 , -15.5934095 , 1.2129855353382433 , 0.8884866 , 0.0029972 , 0.8772373 , 0.0140657 , 20.0943146 , 0.7478290 , 0.8796908
