MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59874.1081696907640435 , -4.8804540634155273 , 7 , 0.9398109 , 0.0198268 , 1.0247830 , 0.0192643 , 114.5229263 , 0.1848464614478783 , 1.1192822 , 0.0098494 , 1.0634964 , 0.0081288 , 511.5312805 , 45.1779556 , 40.6041031
 59874.1146328763934434 , -4.7250299453735352 , 7 , 0.9455466 , 0.0212611 , 1.0410291 , 0.0235782 , 114.0084610 , 0.0915402963935810 , 1.1482134 , 0.0169642 , 1.0696744 , 0.0097312 , 513.3475342 , 57.4011803 , 53.8736153
 59874.1189856504643103 , -4.6205782890319824 , 7 , 0.9422447 , 0.0162420 , 1.0440184 , 0.0178631 , 113.9588242 , 0.1955841235237721 , 1.1493769 , 0.0087151 , 1.0672448 , 0.0094279 , 424.8894958 , 55.5118141 , 52.2741852
 59874.1240639546740567 , -4.4985785484313965 , 7 , 0.9343957 , 0.0147733 , 1.0334039 , 0.0157036 , 114.1575317 , 0.2077165890787245 , 1.1478790 , 0.0068916 , 1.0644820 , 0.0065024 , 376.8820190 , 48.7407990 , 46.8194923
 59874.1276912917528534 , -4.4108390808105469 , 7 , 0.9191577 , 0.0162709 , 1.0217961 , 0.0176744 , 114.6626663 , 0.2282847523996638 , 1.1431688 , 0.0037803 , 1.0852392 , 0.0159299 , 463.3697815 , 45.7652435 , 42.8644142
 59874.1395955094631063 , -4.1242237091064453 , 7 , 0.9251732 , 0.0139938 , 1.0227149 , 0.0159829 , 113.9435806 , 0.1088630512326180 , 1.1276563 , 0.0054820 , 1.0804265 , 0.0053574 , 597.3246460 , 79.7474823 , 76.4368591
 59874.1457619909997447 , -3.9763202667236328 , 7 , 0.9286969 , 0.0206592 , 1.0438764 , 0.0237957 , 113.6657333 , 0.1885127366261163 , 1.1572529 , 0.0222107 , 1.0779352 , 0.0089158 , 502.3930664 , 79.1951828 , 71.5442123
 59874.1504774972709129 , -3.8626766204833984 , 7 , 0.9198447 , 0.0174827 , 1.0304776 , 0.0196745 , 112.9693298 , 0.1560440641202137 , 1.1641569 , 0.0076131 , 1.0827819 , 0.0067291 , 488.1898499 , 77.7864609 , 69.9630432
 59874.1553248938944307 , -3.7456908226013184 , 7 , 0.9224151 , 0.0141426 , 1.0281720 , 0.0185405 , 112.8043518 , 0.1138464553603236 , 1.1665474 , 0.0086904 , 1.0689484 , 0.0077533 , 540.9663086 , 64.0198059 , 56.3356171
 59874.1589522689027945 , -3.6587870121002197 , 7 , 0.9243910 , 0.0214183 , 1.0345019 , 0.0245846 , 112.6338043 , 0.1141121910427181 , 1.1638329 , 0.0061356 , 1.0780874 , 0.0077235 , 547.3229980 , 61.1140823 , 53.9521141
 59874.1848382511525415 , -3.0359761714935303 , 7 , 0.9211167 , 0.0125528 , 1.0429745 , 0.0147322 , 113.2264328 , 0.1314823316210755 , 1.1740489 , 0.0058554 , 1.0964143 , 0.0075990 , 464.8028564 , 79.9281616 , 65.7286682
 59874.1909387255509500 , -2.8889079093933105 , 7 , 0.9211817 , 0.0161326 , 1.0334505 , 0.0186015 , 112.7738571 , 0.2225404193202465 , 1.1603332 , 0.0097919 , 1.0974791 , 0.0073548 , 663.6884766 , 99.3760300 , 84.4558945
 59874.1956541995459702 , -2.7752647399902344 , 7 , 0.9109027 , 0.0160972 , 1.0344075 , 0.0176813 , 113.0020676 , 0.2022705309029273 , 1.1503561 , 0.0079615 , 1.1183064 , 0.0121777 , 392.3129272 , 50.4268951 , 41.2177391
 59874.2007655143825104 , -2.6524295806884766 , 7 , 0.9225808 , 0.0158061 , 1.0362417 , 0.0144628 , 112.7857132 , 0.1711518068296650 , 1.1613839 , 0.0057210 , 1.0883272 , 0.0076046 , 437.7879639 , 68.2922287 , 59.1739998
 59874.2040300406297320 , -2.5738816261291504 , 7 , 0.9162545 , 0.0261238 , 1.0308210 , 0.0256882 , 112.1414719 , 0.2698027629275725 , 1.1610574 , 0.0055508 , 1.0842843 , 0.0108754 , 517.1400146 , 62.7757988 , 57.4216461
 59874.2180777139365091 , -2.2354581356048584 , 7 , 0.9082274 , 0.0178474 , 1.0228342 , 0.0188611 , 112.7004089 , 0.0865929500801296 , 1.1631382 , 0.0065818 , 1.0948087 , 0.0074778 , 397.2710266 , 64.4123459 , 55.1732216
 59874.2241453125825501 , -2.0900609493255615 , 7 , 0.9077175 , 0.0137402 , 1.0215383 , 0.0159681 , 113.0137177 , 0.1125825006344651 , 1.1590672 , 0.0076525 , 1.0937029 , 0.0060475 , 412.5705261 , 58.9444962 , 52.3485565
 59874.2284980369950063 , -1.9847738742828369 , 7 , 0.9207160 , 0.0272643 , 1.0286403 , 0.0305408 , 112.9914169 , 0.2529036484430058 , 1.1554997 , 0.0039051 , 1.0969396 , 0.0104940 , 358.8500061 , 57.8393555 , 49.6763306
 59874.2493387683061883 , -1.4834053516387939 , 7 , 0.9215066 , 0.0205780 , 1.0340647 , 0.0237039 , 113.6753922 , 0.1535466162321487 , 1.1535289 , 0.0063389 , 1.0914683 , 0.0057875 , 345.0527344 , 51.1194000 , 44.5067863
 59874.2529660500731552 , -1.3965014219284058 , 7 , 0.9041069 , 0.0179926 , 1.0140015 , 0.0169499 , 114.4896698 , 0.2611037466117833 , 1.1615981 , 0.0116823 , 1.0930778 , 0.0065083 , 228.4709473 , 30.7570934 , 26.8052521
 59874.2705091268871911 , -0.9739588499069214 , 7 , 0.9029650 , 0.0218466 , 1.0363628 , 0.0245108 , 116.7216873 , 0.2136777737158107 , 1.1860490 , 0.0094902 , 1.1183051 , 0.0082810 , 96.8357315 , 12.4487772 , 10.4055119
 59874.2741365089532337 , -0.8870549798011780 , 7 , 0.8773836 , 0.0256870 , 1.0118123 , 0.0286017 , 116.5915680 , 0.3425601372858234 , 1.1890830 , 0.0134028 , 1.1276071 , 0.0201023 , 141.5702057 , 11.4490728 , 10.1183853
 59874.2847546296979999 , -0.6313569545745850 , 7 , 0.9010311 , 0.0192461 , 1.0362240 , 0.0212295 , 115.7854004 , 0.1962026447519947 , 1.1788189 , 0.0083180 , 1.1253331 , 0.0124851 , 193.5987549 , 29.8293362 , 25.0599079
 59874.2910860307965777 , -0.4784394502639771 , 7 , 0.9040475 , 0.0216846 , 1.0318037 , 0.0299507 , 114.8332291 , 0.3045728509348724 , 1.1423163 , 0.0222769 , 1.1301849 , 0.0129556 , 193.6038513 , 23.6725712 , 20.3418331
 59874.2954388319267309 , -0.3739877939224243 , 7 , 0.9202891 , 0.0196588 , 1.0401136 , 0.0255352 , 112.3563080 , 0.3855343848978390 , 1.1288702 , 0.0085917 , 1.1270484 , 0.0087591 , 184.5797119 , 23.4141960 , 20.7573700
 59874.3231818883359665 , 0.2933900058269501 , 7 , 0.9315051 , 0.0291366 , 0.9610935 , 0.0317552 , 79.2061920 , 0.3748098721800744 , 1.0207345 , 0.0128681 , 1.0162568 , 0.0153464 , 130.4731293 , 9.9421511 , 9.7311668
 59874.3294668962262222 , 0.4446364045143127 , 7 , 0.9546603 , 0.0115569 , 0.9395191 , 0.0094707 , 76.7816010 , 0.2965907528581935 , 0.9940390 , 0.0064771 , 0.9727141 , 0.0051197 , 315.0408020 , 35.8889694 , 39.8376045
 59874.3361937962326920 , 0.6067456007003784 , 7 , 0.9563891 , 0.0099181 , 0.9485527 , 0.0104893 , 77.4721603 , 0.2307224882022284 , 1.0115807 , 0.0102487 , 0.9901140 , 0.0067016 , 351.2947693 , 48.9744377 , 52.4437637
 59874.3436130930349464 , 0.7855672240257263 , 7 , 0.9526857 , 0.0114368 , 0.9465764 , 0.0134455 , 78.6077881 , 0.2016434001341899 , 1.0042990 , 0.0074609 , 0.9801776 , 0.0069708 , 426.6574402 , 52.6626320 , 56.9574928
 59874.3485263308393769 , 0.9033891558647156 , 7 , 0.9433269 , 0.0137732 , 0.9453218 , 0.0107015 , 79.9026413 , 0.2646732107419031 , 1.0347713 , 0.0139028 , 0.9908519 , 0.0127221 , 673.4642944 , 58.6670380 , 64.3146210
 59874.3817162530176574 , 1.7022372484207153 , 7 , 0.9454098 , 0.0105193 , 0.9592392 , 0.0106148 , 85.3938751 , 0.1974467142392181 , 1.0383511 , 0.0085195 , 1.0068848 , 0.0077089 , 356.1461182 , 58.3967018 , 63.0315018
 59874.3881794942208217 , 1.8576617240905762 , 7 , 0.9346746 , 0.0082005 , 0.9763812 , 0.0205738 , 86.1118622 , 0.2444788734746834 , 1.0510020 , 0.0165786 , 1.0394909 , 0.0207158 , 415.0383606 , 62.1001358 , 64.4342728
 59874.3929939186491538 , 1.9738122224807739 , 7 , 0.9321423 , 0.0099520 , 0.9761940 , 0.0099645 , 86.6145630 , 0.1492106301902939 , 1.0603365 , 0.0039223 , 1.0365981 , 0.0055083 , 502.8365479 , 71.5681458 , 71.9338150
 59874.3986987340031192 , 2.0674014091491699 , 7 , 0.9244876 , 0.0091311 , 0.9543471 , 0.0075506 , 86.6062851 , 0.2068224657839929 , 1.0437127 , 0.0043742 , 1.0226552 , 0.0054997 , 503.3276367 , 88.3467331 , 95.7606049
 59874.4024580052864621 , 2.2010998725891113 , 7 , 0.9286021 , 0.0050574 , 0.9594392 , 0.0060158 , 87.0436325 , 0.1223083943605717 , 1.0443732 , 0.0075376 , 1.0256926 , 0.0103539 , 702.5667114 , 92.5712585 , 99.8657913
 59874.4136367569881259 , 2.4701681137084961 , 7 , 0.8978982 , 0.0127490 , 0.9345340 , 0.0123440 , 86.7207108 , 0.1990425124332124 , 1.0300010 , 0.0085364 , 1.0471349 , 0.0073001 , 461.3318176 , 61.7924690 , 66.2548294
 59874.4194239547068719 , 2.6113870143890381 , 7 , 0.8942837 , 0.0099406 , 0.9164135 , 0.0138122 , 86.1504517 , 0.1493406106436783 , 1.0252031 , 0.0045919 , 1.0350497 , 0.0225836 , 502.6113281 , 69.9745636 , 79.0289612
 59874.4257718284643488 , 2.7626335620880127 , 7 , 0.9042896 , 0.0166385 , 0.9167266 , 0.0171552 , 86.2412796 , 0.1702255325537801 , 1.0159224 , 0.0057804 , 1.0131167 , 0.0088701 , 464.4584045 , 68.6848679 , 79.9251175
