MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59874.1070955355826300 , -4.9066367149353027 , 4 , 0.9336853 , 0.0221456 , 0.8910102 , 0.0170137 , -33.7950172 , 0.4461366163734122 , 0.9528034 , 0.0077435 , 0.9562497 , 0.0140411 , 40.7026100 , 0.7745960 , 0.8231810
 59874.1103600773567450 , -4.8280887603759766 , 4 , 0.9607119 , 0.0380111 , 0.9112532 , 0.0324297 , -35.9926987 , 0.6770469251705535 , 0.9501536 , 0.0077066 , 0.9221864 , 0.0145096 , 23.9484520 , 0.4902892 , 0.5211300
 59874.1153722116068820 , -4.7077603340148926 , 4 , 0.9758058 , 0.0183960 , 0.9164073 , 0.0179456 , -33.8568192 , 0.2256188190676918 , 0.9363994 , 0.0045433 , 0.9473812 , 0.0066055 , 86.0065765 , 1.6851205 , 2.0471671
 59874.1186367804839392 , -4.6292128562927246 , 4 , 0.9609368 , 0.0230316 , 0.9022283 , 0.0204235 , -34.5606270 , 0.3014513627172711 , 0.9334459 , 0.0042116 , 0.9484391 , 0.0072169 , 67.2947998 , 1.2495710 , 1.4999970
 59874.1240776319318684 , -4.4980216026306152 , 4 , 0.9583191 , 0.0153042 , 0.8930368 , 0.0163305 , -34.8322945 , 0.3155304957219604 , 0.9402284 , 0.0046938 , 0.9163992 , 0.0092264 , 83.4116364 , 1.4572401 , 1.8290642
 59874.1277048318588641 , -4.4102821350097656 , 4 , 0.9694113 , 0.0343013 , 0.8931535 , 0.0327779 , -34.5240288 , 0.4516651486279226 , 0.9394443 , 0.0039358 , 0.9031960 , 0.0125888 , 61.5936737 , 0.9624212 , 1.1781899
 59874.1385205642654910 , -4.1504063606262207 , 4 , 0.9320885 , 0.0114204 , 0.8891072 , 0.0090294 , -33.1276703 , 0.1575553623859935 , 0.9331726 , 0.0053247 , 0.9765543 , 0.0078325 , 291.9974365 , 10.2828741 , 12.6566629
 59874.1421477659750963 , -4.0635027885437012 , 4 , 0.9298041 , 0.0112057 , 0.8902446 , 0.0103753 , -33.6120071 , 0.2679186857436154 , 0.9359300 , 0.0051153 , 0.9811384 , 0.0104194 , 249.7761536 , 6.9006977 , 8.2869663
 59874.1468631175666815 , -3.9498591423034668 , 4 , 0.9702430 , 0.0119476 , 0.9292605 , 0.0134118 , -33.6208305 , 0.2685412424954616 , 0.9269322 , 0.0038652 , 0.9845350 , 0.0059249 , 127.1196136 , 4.0834699 , 4.5415230
 59874.1504904003813863 , -3.8621196746826172 , 4 , 0.9694301 , 0.0229484 , 0.9264702 , 0.0178797 , -34.1972427 , 0.3144015988938952 , 0.9299948 , 0.0083815 , 0.9853003 , 0.0131069 , 149.2867737 , 4.3150749 , 4.7396441
 59874.1553046503468067 , -3.7468049526214600 , 4 , 0.9656416 , 0.0255958 , 0.9007831 , 0.0235448 , -35.9817009 , 0.6489553417612753 , 0.9327036 , 0.0064217 , 0.9376879 , 0.0211692 , 86.5179901 , 2.3433108 , 2.6688182
