MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59873.0970953850264777 , -5.2135577201843262 , 6 , 0.9838001 , 0.0071198 , 0.8486065 , 0.0098398 , -18.3233109 , 0.1985298412481281 , 0.8798062 , 0.0116801 , 0.8434695 , 0.0021359 , 371.1976624 , 4.4681139 , 5.9685049
 59873.1006642664942774 , -5.1274900436401367 , 6 , 0.9896339 , 0.0113477 , 0.8402200 , 0.0173785 , -18.0068874 , 0.2657576488193966 , 0.8669787 , 0.0132994 , 0.8277083 , 0.0110950 , 223.3601227 , 4.2119169 , 5.9781632
 59873.1042331984644989 , -5.0414218902587891 , 6 , 0.9871543 , 0.0084479 , 0.8298747 , 0.0043126 , -17.4028282 , 0.2495560180359669 , 0.8520473 , 0.0078394 , 0.8308940 , 0.0045281 , 320.7846985 , 7.5341983 , 10.7196693
 59873.1085951530840248 , -4.9369702339172363 , 6 , 0.9726045 , 0.0129873 , 0.8054505 , 0.0102973 , -17.3858547 , 0.4715823611288535 , 0.8431448 , 0.0041788 , 0.8182074 , 0.0032544 , 170.6225891 , 2.7788467 , 4.1285391
 59873.1109744803325157 , -4.8793129920959473 , 6 , 0.9690413 , 0.0142645 , 0.8094617 , 0.0128299 , -17.6506672 , 0.4029507474722533 , 0.8423294 , 0.0031745 , 0.8268255 , 0.0011060 , 205.1628723 , 2.2354314 , 3.3412387
 59873.1366396395460470 , -4.2617945671081543 , 6 , 0.9764882 , 0.0055580 , 0.9354679 , 0.0045040 , -20.9355335 , 0.0759689208733428 , 0.9668378 , 0.0065712 , 0.9482086 , 0.0043323 , 708.7696533 , 18.9496727 , 21.1708050
 59873.1402086277739727 , -4.1757259368896484 , 6 , 0.9784245 , 0.0081462 , 0.9375184 , 0.0069328 , -21.3272133 , 0.2064384221859782 , 0.9720907 , 0.0064853 , 0.9412862 , 0.0034460 , 1027.5383301 , 20.7589207 , 23.3430920
 59873.1547815372759942 , -3.8256042003631592 , 6 , 0.9747611 , 0.0040783 , 0.9297523 , 0.0061534 , -21.1320190 , 0.1073049809264721 , 0.9680213 , 0.0070528 , 0.9420167 , 0.0020350 , 1269.2310791 , 32.7340813 , 37.1404076
 59873.1583504606460338 , -3.7395358085632324 , 6 , 0.9779412 , 0.0061321 , 0.9354247 , 0.0035689 , -21.3584976 , 0.1889945644797361 , 0.9688771 , 0.0064361 , 0.9420777 , 0.0028998 , 1497.8823242 , 30.8483620 , 34.4484253
 59873.1619192828075029 , -3.6534678936004639 , 6 , 0.9811296 , 0.0054062 , 0.9355094 , 0.0054772 , -21.3258839 , 0.1861837460888295 , 0.9703724 , 0.0075503 , 0.9391454 , 0.0040826 , 1258.7741699 , 29.3031330 , 33.1506805
