MJD, HA, BASELINE, VisRatio_normed, visratio_normed_err, visratio_raw, visratio_raw_error, PhaseDiff, Phase_err, Tel1_ratio,tel1_ratio_err,tel2_ratio,tel2_ratio_err, snr12, vis2_1,vis2_2 
 59874.1081696907640435 , -4.8804540634155273 , 0 , 0.9810629 , 0.0152047 , 1.1201379 , 0.0181160 , -64.7571335 , 0.2147110807670800 , 1.1673648 , 0.0148237 , 1.1192822 , 0.0098494 , 180.9913177 , 15.6821861 , 12.4270973
 59874.1146328763934434 , -4.7250299453735352 , 0 , 0.9965308 , 0.0104782 , 1.1467196 , 0.0168285 , -64.9199219 , 0.2547378813962669 , 1.1546595 , 0.0129578 , 1.1482134 , 0.0169642 , 475.5559692 , 65.9960251 , 47.8946991
 59874.1189856504643103 , -4.6205782890319824 , 0 , 1.0006331 , 0.0134912 , 1.1482157 , 0.0121841 , -65.0995331 , 0.2976119326705290 , 1.1536068 , 0.0163820 , 1.1493769 , 0.0087151 , 545.6947021 , 56.8520012 , 41.7442131
 59874.1240639546740567 , -4.4985785484313965 , 0 , 0.9945545 , 0.0073973 , 1.1353903 , 0.0060842 , -65.1142731 , 0.3409524229371683 , 1.1368433 , 0.0115999 , 1.1478790 , 0.0068916 , 424.4635925 , 46.7771149 , 33.3285751
 59874.1276912917528534 , -4.4108390808105469 , 0 , 1.0002344 , 0.0120795 , 1.1405907 , 0.0138074 , -65.7814865 , 0.1959108602431738 , 1.1394376 , 0.0145892 , 1.1431688 , 0.0037803 , 311.7884216 , 31.2021027 , 21.7117119
 59874.1395955094631063 , -4.1242237091064453 , 0 , 0.9876153 , 0.0229697 , 1.1146314 , 0.0322539 , -65.9810715 , 0.2488240172008666 , 1.1178727 , 0.0254119 , 1.1276563 , 0.0054820 , 305.2221069 , 42.1452141 , 28.9892673
 59874.1457619909997447 , -3.9763202667236328 , 0 , 0.9912994 , 0.0133918 , 1.1341050 , 0.0220260 , -65.7611771 , 0.2288562436691186 , 1.1482350 , 0.0122435 , 1.1572529 , 0.0222107 , 411.0663757 , 50.6642876 , 37.7751427
 59874.1504774972709129 , -3.8626766204833984 , 0 , 0.9904333 , 0.0170638 , 1.1393908 , 0.0212551 , -65.3303833 , 0.2673953732667027 , 1.1346310 , 0.0068418 , 1.1641569 , 0.0076131 , 498.2219543 , 80.9368286 , 56.9119186
 59874.1553248938944307 , -3.7456908226013184 , 0 , 0.9916184 , 0.0084099 , 1.1373451 , 0.0102719 , -65.9928513 , 0.1968260668357601 , 1.1260732 , 0.0101936 , 1.1665474 , 0.0086904 , 602.7766113 , 69.4188995 , 48.8166084
 59874.1589522689027945 , -3.6587870121002197 , 0 , 0.9936531 , 0.0057798 , 1.1380371 , 0.0045233 , -65.9908447 , 0.1898526243623382 , 1.1278956 , 0.0114273 , 1.1638329 , 0.0061356 , 602.0911865 , 84.5378189 , 56.1634178
